function	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
5-FORMYL-THF-CYCLO-LIGASE-RXN	444799.45	457804.19	543999.39	430196.38	505575.51	388839.84	372123.26	385123.96	443991.54	510280.01	469824.21	478746.98	272320.47	443174.8300000001	441353.57	275128.43	380682.87	528487.23	364540.87	508105.45	452685.94	394757.9	332312.63	442399.98	567719.85	467824.31000000006	457208.48	325211.12	351678.39	658220.51	488672.86	557001.02	474656.8	557424.14	560619.11	359750.85	345953.95	447976.16	371980.82	421044.77	428488.46	352820.55	347094.31	263313.85	428436.51	359194.17000000004	488060.92	356667.72000000003	566218.04	425578.09	333509.79000000004	529817.27	348913.9	323501.42	443670.7	259860.55	281972.53	338720.56999999995	241701.31	435624.79	350600.99	254938.3	378623.21
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	55650.68000000001	32222.620000000003	52382.05	63765.95	31182.51	37376.73	73244.73000000001	23244.06	58457.58	64761.98	28471.15	39093.98	17271.17	11042.04	8570.83	7429.29	7427.380000000001	7328.24	15461.38	16917.08	15940.2	6808.889999999999	11980.580000000002	76292.23999999999	36528.96	42602.72	64754.69	19938.82	24572.06	97008.37	37162.4	52915.37	67717.0	28957.06	44456.06	22737.21	11801.19	19146.35	9418.84	17601.17	21584.86	16555.17	28638.74	6200.99	30325.64	29103.19	14554.83	6605.27	40614.89	68709.39	15626.28	57901.740000000005	15171.08	22037.66	48397.310000000005	14671.6	27423.24	37273.76	13668.64	46085.21000000001	47220.01	25399.38	28006.26
5-METHYLTHIORIBOSE-KINASE-RXN	59915.14	95478.33	86573.86	50558.47000000001	104179.87	63775.9	56421.02999999999	68303.94	118571.07	118905.16999999998	122518.26	83319.62999999999	76465.28	193400.08	152878.78	51782.78	162646.46000000002	150500.02000000002	104545.62	203857.15	137044.59	166145.22	115033.45	52470.73000000001	124845.65	77396.58	51501.17	66001.02	47022.08	143625.46	73598.51	119838.33	39286.89	119495.69	81010.89	115539.28	120163.51	107027.1	101376.66999999998	103341.92	118179.30000000002	133145.07	86043.32999999999	125222.24	115775.37	113798.93	195120.92	95410.01	95667.93	62854.05	66502.53	110905.54	65077.59	55783.4	92922.98	52862.54	48018.91	71877.93999999999	43261.83	67873.67	39384.42	46651.03	74717.93
5-NUCLEOTID-RXN	1220646.06	1314869.12	1454204.17	1198360.79	1422848.18	1072945.75	1066289.42	1150250.85	1314548.99	1551878.6800000002	1420926.86	1387048.13	820031.3799999999	1275624.64	1381609.92	840062.45	1113583.4	1623365.4400000002	1084205.9	1420004.98	1375682.25	1147492.63	1016004.64	1201842.27	1592304.7699999998	1297754.0	1250436.04	945400.32	997949.59	1983343.38	1467781.28	1678907.2800000005	1288110.67	1571920.79	1620089.09	1092173.86	992495.05	1260246.54	1131120.19	1237019.6	1196056.84	1053715.86	1029811.52	765156.6000000001	1236131.08	1073294.89	1458759.87	1120641.37	1591219.9600000002	1149868.77	933405.04	1553027.7200000002	996143.89	951518.25	1284237.02	745893.9299999999	766004.1900000001	990044.8199999998	673350.66	1224226.71	974825.6	706583.21	1075846.17
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	40102.34	41236.76	46052.53999999999	39800.33	32453.82	27127.67	42116.35	23122.04	30544.32	47075.83	29425.25	34334.880000000005	31467.34	6635.03	21213.67	24525.99	5155.66	30495.1	15453.33	6325.57	16944.32	5118.66	11479.27	32424.66	29020.0	36926.33	50751.8	16622.77	21401.34	61894.01	19875.71	39406.02	74254.98	45450.86	39413.03	11722.33	13938.92	95545.33	24053.67	26644.49	91075.36	31611.54	17915.34	4409.47	52752.2	33570.99	34207.84	31966.34	106215.33	66259.5	35187.399999999994	32127.69	35312.33	24427.58	32931.66	23190.49	21915.8	29157.49	25187.75	60781.14	44662.04000000001	16102.31	19754.42
5.1.1.17-RXN	831.67	213.66	700.6700000000001	1695.33	415.84	158.67000000000002	862.17	361.17	642.83	1366.17	641.3299999999999	436.0	288.0	606.38	624.17	124.0	257.83	153.0	386.83	278.33	473.16	889.3299999999999	335.83	1479.0	357.42	388.83	534.3299999999999	283.51	281.0	1409.83	851.16	244.67	925.67	234.17	535.17	317.5	126.17	1117.17	284.84000000000003	229.0	842.33	491.5	339.83	162.07	656.75	387.67	630.8299999999999	321.83	1111.51	758.5	135.66	487.0	285.34000000000003	109.33	412.0	262.5	141.0	385.5	709.3299999999999	550.09	354.0	246.83	278.67
5.1.1.18-RXN	0.0	0.0	0.0	29.0	0.0	7.0	16.0	0.0	10.0	0.0	42.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	17.0	7.67	12.25	0.0	25.0	0.0	0.0	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	17.0	0.0	16.0	5.0	21.0	0.0	0.0	4.0	17.0	0.0	0.25	0.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.57
5.1.2.3-RXN	745948.9	754013.33	965144.58	709889.97	859838.72	648784.02	617079.8699999999	634902.8500000001	749462.79	875501.98	762141.26	779797.33	436576.31	532487.29	688718.1699999999	413249.85	454406.58	807516.1699999999	548576.27	640761.4099999999	675621.3200000001	506718.95000000007	504272.68000000005	747337.99	974505.94	815460.56	786730.24	544759.0	587896.54	1122989.03	738924.67	940258.5	797260.89	983462.4600000002	892864.6199999999	555004.82	481107.6	486458.6599999999	584330.99	690921.0800000001	502952.96	515975.51	550052.76	325513.68	603595.3099999999	563209.96	675529.46	565068.72	865911.1499999999	688899.4500000001	564202.81	895884.2100000001	574525.61	555196.98	752105.1900000001	438487.27	476564.6599999999	573010.1	393068.42	732157.45	601077.27	419877.67	619314.25
5.1.3.17-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.1.3.20-RXN	124463.3	180862.15	113446.57	134325.41999999998	144789.97	119128.25	106226.06	144423.78999999998	120572.99	140417.27	158718.57	169633.31	107883.32	196193.59	175611.97999999998	131876.18	174717.65	226291.03	145586.59	232635.4	182468.88	165118.45	114285.47	99410.26	150841.93	115969.59	116058.44000000002	112022.17	117698.1	171911.12	230931.21	186480.63	148892.65	142732.37	223248.34	117275.08	144573.66999999998	144966.90000000002	148593.88	136545.47	143420.97	99533.57	107175.81	96794.62	126299.93	109963.60000000002	151559.84	147074.74	149516.90999999997	102560.17	117837.32	144838.69	137455.27000000002	120297.75	109729.14	104176.62	83750.2	87946.69	96409.01	115630.27	96850.64	79956.82999999999	118252.68
5.1.3.23-RXN	3019.34	1710.33	2325.67	3330.34	1928.5	1839.33	3777.0	875.0	2781.0	3968.33	2083.66	2736.33	767.0	882.0	639.0	933.0	79.0	730.0	595.5	545.0	1219.0	25.71	1288.4	3652.5	1672.67	1565.5	2596.67	755.0	1260.0	3857.0	1561.0	2914.0	4107.67	2820.31	2439.67	1478.0	365.33	588.0	1242.34	1858.67	721.0	766.1700000000001	2814.0	218.2	2843.0	1751.5	968.0	1742.18	1938.0	4963.33	1148.67	6840.34	1532.67	1927.33	4560.34	836.3299999999999	1910.33	3532.33	1138.34	3080.67	4736.0	2119.0	2251.33
5.1.3.9-RXN	209.02	912.56	217.81	199.24	3261.01	203.86	273.0	1220.9499999999998	187.91000000000005	555.66	2972.98	2418.78	4.67	2079.55	616.26	72.33	563.6700000000001	797.0400000000001	439.47	924.11	8456.75	1272.46	3074.06	74.15	2528.2200000000003	358.97	224.39	904.11	221.07	139.63	1684.65	520.86	138.75	504.56	411.3	736.53	430.06	1216.77	274.95	268.1	1199.35	1055.52	393.24	1124.64	2070.15	401.53	488.46	373.86	1035.9	352.75	1184.08	313.75	860.9100000000001	383.65	116.73	650.79	279.25	54.61	1370.64	279.93	378.14	849.72	695.9200000000001
5.1.99.4-RXN	32460.83	15713.13	26211.47	27127.16	16740.77	20772.5	35198.16	10793.9	31407.33	33355.84	15647.83	22727.54	10209.67	6402.25	6377.17	5890.0	3138.0	4613.43	10325.16	4683.73	10266.67	3001.5	8000.17	46956.5	17640.25	18937.34	33044.46	9409.4	12658.66	45115.17	19895.84	27720.54	32624.5	18428.86	27714.94	17440.84	4832.93	172924.33	6633.67	12510.33	142563.7	47484.36	23505.84	1712.97	83317.28	35511.83	50298.25	4684.0	148401.5	80851.66	8984.07	43014.66	7405.66	15960.83	36785.0	6783.0	19527.46	28719.0	6446.5	58924.58	37159.32	15219.17	19335.09
5.3.1.17-RXN	148484.08000000002	146751.16999999998	288431.36	144369.71	215216.57	165252.77000000002	114133.65	161261.78	151616.86000000002	121413.29	159609.90999999997	167998.8	32010.5	30831.72	82895.84	55761.71	28379.93	94144.12	50250.59	39063.59	83286.77	48858.18	58026.37	142310.32	255465.4	244539.07	196507.58	127704.25	166154.57	126545.35	150251.96999999997	199437.02	192264.07	267489.39	184542.45	56800.11	60025.29	85932.08	83138.64	92479.29	66695.61	54735.98	51989.0	30001.3	103499.4	55305.86	72259.64	46827.25	200931.98	153539.41	119845.19	90272.32	118913.46	103159.95	70190.78	81708.43	106758.65	80088.3	81266.29000000001	114965.88999999998	113409.27	74169.65000000001	116605.61
5.3.1.23-RXN	94018.73	138376.76	138162.27	100594.35	138700.2	92631.74	114243.71	102494.17	154571.87	173173.95	145432.91	118268.48	99772.45	63672.98	143520.64	65053.95	45789.78	147987.87	83696.04	92031.35	100172.91	54172.29	92867.76	78845.23999999999	161685.76	124555.4	108881.41	91394.66	70510.66	201993.91	111046.49	168245.51	127472.21	169368.93	119964.09	81460.93	65834.91	106762.76	109767.98	111325.16	119626.57	116043.33	74518.83	33565.54	122445.68	120715.45	118384.1	125837.76	168661.37	124308.73	99317.34	117968.30999999998	99534.61	74393.06	104529.36	75659.87	68586.0	84612.94	68335.66	126945.41	81406.33	57678.28	80235.94
5.3.3.10-RXN	207730.38	264584.13	202814.07	188949.75	256204.07	195157.93	175078.8	212988.04	266302.55	274381.65	287815.59	261639.48	200979.25	422612.67999999993	336706.43999999994	190160.36	354662.91	386740.42	287850.34	477454.78	358795.55	360933.01	252927.01	220504.1	283289.93	189164.67	178925.55	179944.65	170168.34	351993.63	324029.58	320288.48000000004	169676.76	250171.63	319461.03	292867.36	278124.77	429731.42	257052.77	288763.02	412934.82	291628.63	232510.82	231758.33	337122.36000000004	287443.93	428042.72	256137.21	365057.91	223460.43	170266.47	313078.67000000004	191182.46	181325.27	243115.35	146069.44	140908.58000000002	184598.58	128541.87	213757.6	152074.98	141826.16	215475.47
5.3.3.14-RXN	428458.18000000005	434112.54	524727.34	401185.96	482265.21	375604.22	344010.88	372219.71	427908.37000000005	482459.67	447273.02	456712.58	259131.42	422606.49	423472.34	264934.18	369653.43	509425.66	352870.66000000003	469823.0	428012.03	382466.44	316818.95000000007	426156.83	544000.94	448053.31	438592.25	313118.75	343197.97	630954.6499999999	469271.18	540354.11	443445.47	543087.84	540206.5700000001	352378.73	332410.01	429591.47	359117.61000000004	397939.09	404863.39	338146.85	337761.54	254840.63	404688.0800000001	345027.68	474379.61	345412.42000000004	541344.68	411260.46	316653.02	513916.37	332402.27	314016.85000000003	426207.73	244363.42	269917.3	331231.77	226155.6	418761.36	340397.44	239038.89	363707.21
5.3.4.1-RXN	384016.11	421983.25	487696.47	361409.7	468275.47	348416.58	294883.04000000004	360310.19	384165.1	436956.07	435081.27	435226.16	251490.41000000003	428308.69000000006	428486.0	263344.28	371544.6	517540.89	345591.83	483881.07	426267.41	385253.4	313407.77	358468.81	523709.85	422896.99	390824.49	302931.4	325397.74	556488.02	448346.44	501631.0	398662.41	524323.16	508279.48	333603.95	333010.36000000004	420608.25	360630.4	397278.48	397550.74	332349.54000000004	315707.43999999994	255724.76	387793.11	321552.65	468635.17	345984.72	518845.84	353351.07	315896.3	469031.02	332310.69	300242.9	393221.37	244483.4	253970.91	300708.23	227342.65	383756.5	299558.75	225698.33	349050.15
5.4.1.2-RXN	129784.59	135463.79	106330.89	124809.86000000002	120256.69	117686.5	105731.26	118982.8	131609.51	117714.69	143693.22	152372.07	114314.42	346448.04	186140.49	131821.57	298961.34	234635.89	197322.33	362033.21	209989.5	283084.59	149273.66999999998	138685.07	131238.19	101988.08	116268.93	89981.88	107182.16	176201.90000000002	210470.84	161838.61	124922.17	116704.67	196021.35	182016.6	202770.02	274023.76	149695.11	146087.16	247818.34	159583.62	140328.58999999997	194302.51	192045.4	153084.82	268574.07	143204.04	162950.27	132685.38	81722.06	161713.82	99129.33	85418.9	118854.84	63844.66	77180.88	92721.17	69836.41	114774.91	91990.13	74244.26	114715.84
5.4.2.10-RXN	440725.94	454206.4099999999	540645.14	425393.38	502260.76	386458.77	369308.26	384268.49	442324.75	505517.01000000007	467420.85	476884.31	271705.97	441123.8300000001	439854.57	274496.97	379708.73	527290.77	363824.08	505304.02	450282.94	393887.98	329830.53	434311.13	561733.1	465666.56000000006	454955.77	323323.56	350131.14	654637.5800000001	486254.29	555116.72	471624.48	556170.64	557749.3	358213.13	345570.99	446713.88	370793.75	420076.52	427324.53	352134.31999999995	345658.88	262842.64	424264.76	356504.34	487083.11	354614.62	564089.4	421462.09	332641.15	527884.77	348156.65	322906.42	441651.13	259089.69	281027.6	337675.56999999995	241106.56	433865.23	347359.99	252210.44	377382.0
5.4.4.1-RXN	41.0	88.0	26.0	33.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	138.0	17.0	0.0	19.0	143.0	17.0	0.0	416.0	37.0	0.0	20.0	26.0	45.0	0.0	0.0	0.0	6.0	61.0	19.0	0.0	88.0	21.0	47.0	9.0	43.0	16.0	0.0	244.0	119.0	0.0	23.0	165.0	13.0	321.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	12.0	6.0	0.0	0.0
5.4.4.3-RXN	32.0	186.18	135.55	18.0	421.48	48.0	35.0	200.4	17.0	27.0	252.75	466.6	0.0	1220.2	163.0	15.0	557.0	168.1	6.0	342.4	374.0	224.0	261.62	12.0	231.0	39.0	12.47	131.4	16.0	28.0	421.88	50.2	9.0	75.2	153.6	184.0	133.0	70963.0	58.0	12.0	58961.2	15944.2	40.0	132.42	27991.2	6528.0	17924.0	143.5	54930.0	13736.33	148.4	42.0	216.0	48.75	8.0	349.0	35.8	16.0	218.0	11467.0	52.0	92.0	180.0
5.4.99.15-RXN	47604.31	79616.49	83907.34	44401.33	82679.21	58167.5	51191.27	61392.22	114556.33	107862.49	92443.45	70425.12	31968.15	15670.3	95762.05	14750.46	9440.53	78240.19	25118.19	9838.02	47130.14	11268.67	51131.130000000005	45506.5	123431.85	76123.41	46231.93	62755.43	43576.41	131058.26	67065.82	118071.5	36565.59	118344.91	65394.37	28453.81	15648.59	25166.72	57649.88	44418.75	28293.11	61734.41	37763.4	6781.06	56217.72	51715.17	50908.52	56673.03	81819.23999999999	55882.76	43389.14000000001	72956.51999999999	31957.53	38222.9	61644.52	34508.07	36321.54	47961.71	24747.66	57203.01	27635.660000000003	27546.620000000003	40083.95
5.4.99.16-RXN	137255.0	135338.9	267062.22	127485.13	201043.12	150402.26	89064.17	130387.67	128859.92	99369.66	131776.47999999998	145219.68	20237.5	30524.430000000004	65545.17	35514.3	24199.33	76115.25	36052.43	32404.35	69105.81	42129.16	45937.5	134333.4	245810.57	217299.83	173615.35	116820.5	144734.25	99156.57	116152.66	166351.09	165338.34	244871.18	161071.01	36476.97	53084.44	54810.67	68963.89	67684.05	43841.58	41786.07	41307.1	26234.15	77901.69	35064.47	53885.83	30205.370000000003	170704.86	135041.33000000002	112141.66	77440.75	105534.93	90600.49	59820.84	74372.5	98050.92	67352.17	73045.58	100217.29	97682.13	66300.43	102611.93
5.4.99.17-RXN	196.0	263.0	323.0	158.0	832.34	83.0	46.0	334.5	2.0	23.5	827.86	815.1	12.0	2966.94	96.0	28.0	382.0	139.0	150.0	204.0	2618.0	647.0	387.0	87.0	541.5	406.0	100.0	84.43	95.0	9.17	391.5	197.0	34.5	147.0	260.0	27.5	153.6	737.0	68.0	142.0	896.5	332.0	66.0	92.7	1187.5	216.5	867.0	43.0	772.5	126.0	452.0	47.0	147.0	98.0	62.0	189.5	47.0	17.0	97.75	127.65	261.71000000000004	42.0	21.0
5.5.1.2-RXN	60121.16	27150.33	48467.59	54151.61	29028.36	35295.83	61728.26	19430.33	53181.84	61670.28999999999	29169.28	39044.21000000001	28065.67	37009.77	21324.32	15510.82	19130.5	16537.07	36318.33	50717.44	31778.700000000004	29753.16	23595.58	81606.07	30049.61	35137.58	64427.84	15696.45	23554.49	103153.32	32875.17	49978.38	65185.38999999999	28900.84	45316.08	44370.72	21829.78	167083.5	17340.32	37437.16	153118.38999999998	58246.73	38608.59	12910.68	98440.05	58408.9	71107.56999999999	18013.58	148424.02	97534.66	14573.35	69859.15000000001	15426.25	23649.730000000003	55950.51	13142.63	27930.4	44484.5	12606.91	68210.1	50972.09	23965.76	30003.770000000004
6-CARBOXYHEXANOATE--COA-LIGASE-RXN	51.0	239.17	154.2	63.0	782.28	93.0	47.0	320.33	48.34	71.75	1227.6	826.27	0.0	1986.55	268.0	30.0	110.0	354.5	136.5	529.3	2841.83	934.0	1232.52	20.0	505.67	122.5	61.0	216.5	53.0	29.5	565.8299999999999	174.0	35.0	132.17000000000002	202.33	85.67	74.6	249.0	68.17	45.0	392.67	391.0	92.0	380.5	649.0	182.0	194.25	117.0	336.0	68.5	259.5	110.34	134.25	95.6	37.5	401.33	83.0	23.73	241.66	103.25	144.57999999999998	206.47	100.09
6-HYDROXYHEXANOATE-OXIDATION-RXN	0.0	1.6	1.6	0.0	5.2	0.0	0.0	8.8	0.0	0.0	0.0	3.2	0.0	4.4	0.0	0.0	0.0	3.2	0.0	20.8	0.0	0.0	13.0	0.0	0.0	4.0	1.6	0.0	0.0	0.0	55.0	0.0	0.0	4.4	3.2	0.0	0.0	132.0	0.0	0.0	81.4	48.4	0.0	1.6	18.4	0.0	56.0	0.0	33.0	6.0	11.8	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	9.0	0.0	0.0	0.0
6-HYDROXYNICOTINATE-REDUCTASE-RXN	25488.0	7559.0	21157.0	21311.0	6891.33	13539.0	21002.0	5503.0	20727.0	21468.0	5518.0	13261.0	4275.67	601.5	406.0	1477.0	477.0	466.0	1966.0	403.0	2759.0	441.0	438.0	21448.0	8362.0	14190.0	25716.0	3526.0	8003.0	36247.17	6988.5	17043.0	20786.0	10197.0	11525.0	2112.33	1688.0	3701.0	3089.0	4711.33	4508.0	3099.0	13191.0	511.0	8112.33	3845.0	2403.5	787.0	15640.0	39877.0	4758.0	36791.0	4270.0	12390.5	26045.0	3648.0	13432.0	19796.0	2983.5	25243.0	26291.0	7870.0	11432.0
6-METHYLSALICYLATE-DECARBOXYLASE-RXN	384.0	301.4	448.8	328.0	5003.54	483.46	583.46	678.8600000000001	507.26	1132.0	2759.2599999999998	3042.8	469.0	733.9	438.2	122.8	417.0	279.8	693.4	756.1600000000001	3988.26	1062.9	2970.4	618.0	4375.799999999999	373.5	523.14	699.0	466.14	376.84	1458.3	1227.94	362.26	718.74	316.0	2009.66	798.8	2766.34	69.1	717.2	3319.0	1265.2	923.34	443.4	2311.4	960.14	1006.1	504.14	2249.0	974.4	1832.56	555.54	1082.66	693.74	313.5	307.4	235.6	156.4	1778.66	873.34	564.94	1195.06	1228.69
6-PHOSPHO-BETA-GALACTOSIDASE-RXN	72.4	213.4	75.0	56.0	2528.27	91.23	146.73	320.43	83.63	462.0	1627.63	1721.5	0.0	404.2000000000001	354.6	40.4	181.2	159.8	349.2	378.53	2859.7300000000005	669.2	1533.4	21.0	2020.5	95.4	137.67000000000002	394.0	156.57000000000002	37.67	744.72	456.47	91.33	272.67	75.32	744.33	382.7000000000001	72.27	43.8	235.7	205.0	305.8	363.67	431.2	741.2	181.07	47.8	201.32	250.8	63.0	998.73	169.26999999999998	591.3299999999999	299.67	18.4	89.2	47.2	2.2	929.83	83.17	170.26999999999998	596.43	526.47
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	31406.43	75460.12	25491.02	35528.49	79277.42000000001	26930.19	20595.29	50584.92	25701.34	69414.5	82308.09	56295.240000000005	25589.49	59990.28	57387.21	25669.31	48449.89	75053.6	42917.100000000006	95231.96	138623.11	76682.72	63683.64	28000.28	50218.67999999999	23070.46	23581.37	44462.22	31158.57	45765.630000000005	71484.90000000001	69897.73000000001	21874.19	31427.35	78360.36	63880.69	64573.02	60943.81	52258.51	53795.130000000005	79086.53	49014.72	40262.43	32013.370000000003	57610.62999999999	37936.71	81364.17	24018.74	88944.13	25500.5	59268.16	82852.66	75918.72	90402.06	32983.95	72252.25	31540.63	30879.320000000003	46870.84	35726.88	35878.17	44404.23	61368.20999999999
6.1.1.23-RXN	9.33	0.0	104.43	0.0	120.0	23.0	5.0	23.0	8.0	1.36	108.03	150.0	0.0	425.37	126.71	11.21	170.0	26.0	34.0	398.1	916.23	136.3	396.21	0.0	247.0	74.5	3.67	12.0	15.0	10.0	123.0	25.4	5.0	1.28	113.42	28.8	12.71	48.0	17.0	25.0	79.5	90.5	17.0	46.2	304.67	8.0	122.21	47.36	35.0	31.43	29.86	28.0	90.0	1.0	13.0	35.0	102.0	0.0	42.0	24.25	36.0	0.0	39.64
6.1.1.24-RXN	3448.65	1393.6	6048.48	15113.0	5904.99	2995.38	16773.73	3642.63	7479.8	12201.76	5787.76	6788.450000000001	4.0	1488.27	802.8700000000001	85.61	1484.63	2297.9	727.25	2032.69	6355.01	1214.64	4258.530000000001	3954.0	5195.25	7925.4	9143.43	3674.0	2224.07	15270.87	2871.73	6086.77	11772.79	3215.6800000000003	4969.23	1691.63	2111.58	71193.18000000001	218.8	377.2000000000001	58514.7	16525.9	478.42	2721.1	28978.65	6838.73	19072.79	383.6	55212.8	14878.55	1576.89	679.94	4128.73	385.47	224.9	2546.2	408.5	574.99	3078.91	11655.55	724.27	1077.85	2163.48
6.2.1.19-RXN	18075.0	26967.8	29603.8	20669.0	31845.6	21539.0	33057.0	40357.4	34493.0	33647.0	39901.0	34954.6	14904.0	9691.2	29838.0	25602.0	7468.0	32736.6	26194.0	13852.4	38590.0	14072.0	28475.0	20148.0	19659.0	33051.0	29392.800000000003	17598.4	26045.75	41592.0	48581.0	43878.2	34266.0	32476.2	31449.6	31447.0	13968.0	88447.0	27588.0	41209.0	73381.2	35901.7	20265.0	8445.8	66892.2	34477.0	49627.0	23435.0	91906.0	40230.0	19949.4	27492.0	26561.0	23525.0	22923.0	20170.0	24910.8	23646.5	20551.0	37850.25	28984.5	23439.0	34908.75
6.2.1.29-RXN	2244.0	3497.67	4533.0	4430.0	2413.58	4141.0	3324.0	2092.33	3841.0	3405.0	3053.0	3355.27	405.0	340.0	377.0	295.0	19.0	374.0	393.0	440.0	749.5	313.0	592.0	3179.0	4151.0	3566.0	3271.0	1543.0	2727.0	2484.0	3088.33	4023.0	4227.0	2788.67	3852.33	1140.0	574.1	625.0	370.0	603.0	1266.67	609.0	482.0	295.5	1599.0	1353.0	1030.0	191.0	1497.5	2379.0	1248.0	861.0	704.0	966.0	802.0	841.3299999999999	1719.0	771.3299999999999	817.0	795.0	1298.0	1311.67	1189.0
6.2.1.34-RXN	115186.5	126193.67	113026.75	122453.97	109797.79	121324.0	108601.0	137975.55	139200.0	116116.0	134012.2	154950.34	80487.67	162108.0	143556.0	118148.0	145493.0	177990.5	132843.0	162811.6	130999.33	126460.0	96714.62	137554.5	140663.52	119900.0	117300.0	97248.0	120883.0	154730.16999999998	231067.33	181359.07	127621.0	129538.67	198599.33	120156.13	100045.34	185587.67	116550.8	109619.33	144539.0	90067.5	98310.5	77509.69	138496.33000000002	115596.66	132826.25	122608.0	151439.6	122749.0	60937.0	116101.0	74421.0	73027.75	88000.0	47843.83	68648.0	73770.33	53875.0	100095.25	86140.0	58900.67	89176.0
6.3.1.10-RXN	428313.5900000001	443791.71	526520.48	401028.25	486797.53	376905.76	342570.13	374581.42	427389.8	477605.12	451374.37	459737.02	257782.84	431255.68000000005	427861.1599999999	255582.53	372317.4	506792.56	351189.04	492068.8	426761.1	385989.02	315410.42000000004	418450.91	547567.12	451242.84	437216.96	314740.3	343407.1699999999	619402.41	472319.87	541365.06	446308.18	544183.74	537183.3400000001	343141.06	338179.55	474940.4	360244.71	385536.27	448986.21	347120.99	335307.97	257206.95	423493.24	330147.46	481630.97	337621.81	586533.3300000001	419082.5500000001	325553.56999999995	508553.35	339442.46	317522.64	428127.73	251431.75	274999.17000000004	328707.49	233137.94	427637.2	337319.53	242963.71	365560.58
6.3.1.12-RXN	76.4	318.6	52.25	15.67	500.63	30.17	51.0	230.0	39.67	31.83	462.86	682.1400000000001	0.0	794.8299999999999	299.16	18.0	133.38	398.99	346.5	969.5	1879.93	464.0	909.84	21.0	291.24	88.4	59.86	120.0	61.5	20.0	164.82999999999998	56.17	27.0	547.5	146.82999999999998	56.83	128.45999999999998	190.58	160.34	48.6	159.67000000000002	120.0	44.0	251.5	472.41	171.0	9.5	45.0	236.0	19.0	158.53	58.0	306.33	44.34	32.4	96.0	77.0	8.09	120.0	64.0	73.64	57.5	68.0
6.3.2.10-RXN	448741.55	460553.3	546938.98	436135.06	508160.26	391209.57	376024.26	385626.07	446454.5	516391.74	472126.29	481448.48	272940.97	443644.8300000001	442527.13	275757.89	381003.01	529529.44	365291.66	507471.05	454060.27	394848.12	334495.46	450237.23	572437.61	469689.06000000006	460429.1499999999	326896.33	353364.64	662506.44	490644.26000000007	559139.1900000001	478270.16	558358.65	563660.25	361255.57	346002.37	448761.17999999993	373436.57	422451.36	428882.72	353865.82	349049.74	263510.32	432413.76	361867.33	488793.97	358709.12	568000.68	429604.3	334097.77	533697.62	349557.66	324323.41	447739.62	260372.57	283725.86	342347.23	242312.74	437368.26	353882.99	257193.16	381257.42
6.3.2.26-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0
