function	101112C14	101112C4	101112C9	101112H14	101112H4	101112H9	101112L14	101112L4	101112L9	101112M14	101112M4	101112M9	123C14	123C4	123C9	123H14	123H4	123H9	123L14	123L4	123L9	123M4	123M9	131415C14	131415C4	131415C9	131415H14	131415H4	131415H9	131415L14	131415L4	131415L9	131415M14	131415M4	131415M9	13M14	456C4	456H4	456H9	456L14	456L4	456L9	456M14	456M4	456M9	45C14	45C9	45H14	67C9	6C14	789C4	789H14	789H4	789H9	789L14	789L4	789L9	789M14	789M4	7C14	89C14	89C9	89M9
RXN0-2161	444769.96	457389.52	543841.06	430781.72	505224.76	388893.17	372692.26	385037.78	444392.54	511956.34	470575.37000000005	479664.71	272323.47	442907.8300000001	441208.57	275126.43	380642.87	528468.23	364585.87	507198.88	452241.02	394857.9	332199.63	442319.48	567262.27	467736.81000000006	457704.48	325140.12	351781.89	658600.51	488536.86	557153.02	475554.97	557549.81	561569.36	359753.35	346012.68	447755.03	372127.16	421271.44000000006	428156.46	353061.22	347352.31	263335.69	428495.01	359212.67000000004	487957.04	356681.22000000003	566152.04	425574.42	333449.46	530825.11	348921.31999999995	323617.75	444718.04	259804.88	282406.03	340098.4	241879.65	435620.08	350639.99	254775.3	379462.54
RXN0-2301	344716.31999999995	307843.03	446801.64	324426.13	391459.95	283347.43999999994	293201.39	263927.73	343486.26	412893.7	341411.07	337277.61	178239.33	262061.98000000004	288383.38	155420.91	224768.83	332498.67999999993	236148.23	308648.69	313394.54000000004	257385.29	233720.22	359162.71	430123.77	368146.91	365153.19	233139.2	250980.86	534507.58	284036.71	411244.2	346024.84	430002.47	381388.18	271405.94	231261.71	327143.13	245762.73	307416.65	321060.42000000004	275556.81	262362.14	179780.12	321528.34	265733.55	373970.04	219048.19	460681.15	335892.71	243398.32	436009.58	249474.73	251069.14	362526.67	191828.88	213680.23	277018.49	165557.03999999998	340383.11	274099.41000000003	192536.04	292933.18999999994
RXN0-2361	322663.11	320257.78	436408.51000000007	307563.47	393908.42	271535.37	269052.64	265535.65	313517.32	396323.32	340036.21	330879.48	193444.25	264989.87	301836.25	173042.72	228052.99	359869.71	238667.79	307660.51	323899.45	260221.11	237964.12	308914.16	426819.28	362887.89	345628.41	233137.21	245335.14	490751.4	268225.13	393453.86	347740.80000000005	436980.93	368455.87	261168.03	237114.04	316648.62	261781.6	318799.85	315042.22	271459.88	249945.55	182309.38	309453.65	260735.68	374005.28	247773.17	458650.82	310754.87	263053.52	401960.63	272666.53	250764.02	344902.64	204557.62	208044.14	267140.34	179884.19	335866.4	267825.78	187080.41	287748.06999999995
RXN0-2441	2662.29	3099.5	3719.13	2959.9	4902.97	2768.87	1700.67	1293.71	1822.69	1754.75	2866.2200000000003	3045.93	593.0	3361.0	943.27	941.71	1289.7599999999998	646.29	887.6199999999999	795.6899999999999	4023.96	1932.76	1652.33	4513.57	5918.07	2693.4	2216.92	2433.73	2070.9	1446.86	2757.3	1888.99	1680.4900000000002	2578.2900000000004	2919.9300000000003	1028.04	569.06	153721.97999999998	1071.19	888.5	129533.51	35332.369999999995	1191.5	512.48	63856.380000000005	15221.45	40273.32	836.94	118752.38	31197.41	1519.15	1521.75	1208.34	1256.71	1205.57	914.65	1004.1	857.29	1297.05	25733.7	1435.25	1287.86	1404.0
RXN0-2461	31096.869999999995	75721.51999999999	25301.76	36078.81999999999	75873.78	27190.5	20893.48	50881.05	26179.1	69529.01000000001	77061.86	52824.76	25397.1	58373.33	56666.23999999999	25567.710000000003	49516.8	74185.6	40500.02	93236.06	124164.01	77249.88	55747.97	27868.54	48228.36	22667.7	23769.34	44223.88	30920.51	45925.45	70995.54000000001	69772.83	21963.07	29507.300000000003	78945.23000000001	64344.58	65347.02	160947.19	53300.21	53582.54	163138.71999999997	72881.39	39925.12	30825.08	96832.66999999998	46834.02	108213.34	23141.800000000003	163470.63	45506.23	58338.4	83282.70999999999	75554.75	90485.4	33848.36	73252.89	32082.81	32183.120000000003	46790.0	52302.14	35347.36	44148.75	62697.91
RXN0-2522	511.23	1798.75	507.85	491.93000000000006	1446.8	599.86	470.39	1309.84	519.55	867.27	1798.17	758.32	3389.38	5558.07	4825.12	1955.61	3693.65	5806.889999999999	4440.3	7187.12	5886.42	5604.26	3775.59	807.64	1043.55	419.08	468.31	835.03	406.37	872.4599999999999	1839.63	457.61	413.15	937.21	1252.54	3904.72	3406.75	2238.2200000000003	3196.38	3980.12	3421.3	3160.31	1699.0700000000002	1653.92	3117.53	2683.65	5552.42	2774.69	1352.67	826.6200000000001	1334.35	1536.4299999999998	1821.63	761.88	1403.4	1865.12	965.07	863.0000000000001	1993.42	517.21	531.28	1242.57	1827.6
RXN0-2584	526177.45	510719.83	613879.8	514927.93	553633.1499999999	441441.0	472546.64	418727.82	528431.37	605685.79	521127.58	539102.01	297250.69	468995.04	457751.07	287304.31999999995	392141.97	530773.3999999999	393249.5	550564.6	479825.38	408988.22	351769.25	564513.47	620007.1699999999	522151.4	546958.21	351782.2	386466.14	804343.76	553983.21	633888.1499999999	567100.8	600624.1900000001	636737.9299999999	402632.02	365503.41	683338.8	382288.5500000001	447974.17	642104.01	430727.75	390480.32	271278.71	565878.99	437043.59	567470.68	365555.9	780228.81	553945.4	361270.94	610460.8	371131.79	354588.92	518729.43000000005	283628.78	323816.21	391580.11	264237.03	531287.65	414643.06000000006	295262.84	421876.18000000005
RXN0-2605	1196878.29	1275764.66	1500110.69	1125487.35	1420199.98	1071748.17	932415.19	1092916.38	1192311.16	1358099.88	1319392.91	1329089.58	770196.52	1283293.64	1290679.1	802390.33	1115015.8800000004	1559887.86	1049171.33	1439542.89	1297456.91	1154253.57	953230.03	1145453.35	1595805.1599999997	1295011.02	1220235.84	922115.67	993765.28	1741387.88	1361010.7999999998	1541171.1199999996	1241271.1999999995	1591001.55	1557522.3099999998	1024510.2	998104.02	1269953.59	1087315.81	1198851.44	1198672.52	1006002.48	970821.91	769235.0299999999	1185185.71	997682.63	1416990.77	1048441.43	1578784.67	1112302.7	946561.97	1443727.67	997719.98	911716.82	1212123.91	733041.14	775528.2	932441.04	679411.2999999999	1182119.13	936043.8	689726.9199999999	1062523.7399999998
RXN0-262	514590.99	479666.1	694935.7499999999	490260.31	587344.2	458017.8500000001	380800.46	410568.99	427035.63	468072.74	469685.20000000007	519605.71	241883.94	468717.56	379581.71	262471.78	399973.27	485315.81	341864.77	549723.73	431577.98999999993	433082.45	293598.3	502765.15	657359.69	572645.55	556334.55	354853.34	425127.56	589094.14	485477.7700000001	562948.92	574304.57	654478.9300000002	623083.67	331848.29	380903.12	473022.76	356319.32	414298.32	448951.79	313749.94999999995	320667.31	280100.05000000005	416064.83	308619.75	466402.25	289327.43999999994	619437.9299999999	482715.28	383151.11	522374.14	398575.87	357187.79	423512.82	279437.72	320838.2	338353.76	270865.12	456499.87	395616.94	268744.21	406919.06
RXN0-280	4266.78	5951.55	6870.78	6603.33	8328.96	5280.22	5006.83	4025.52	5266.91	5765.490000000001	8537.32	9298.55	1220.0	10404.62	2007.24	1311.17	2439.86	2400.26	1494.99	2721.0	6707.549999999999	4880.63	3549.79	5535.99	6901.53	5250.15	4944.56	2678.6800000000003	3611.64	4322.9400000000005	6950.6	6476.5	6038.92	4694.040000000001	6090.860000000001	3114.8500000000004	1678.7199999999998	166787.00000000003	1584.8200000000002	1810.16	143306.45	40269.98	1804.74	1573.51	73499.72	18704.02	47549.81	1265.52	128176.95	35896.6	3771.52	2033.74	1996.09	2015.12	1867.33	3193.92	2534.79	1637.54	2427.3	29394.880000000005	3826.24	2833.51	3361.55
RXN0-2921	447033.79	462098.52	544626.06	431232.72	506705.7	389760.17	373011.26	384581.28	445059.54	512141.84	472404.37	481470.61	278507.47	445345.3300000001	444251.57	276210.43	381236.07	528575.6299999999	370201.37	518046.4	457328.52	396030.9	334648.56000000006	442421.48	567937.97	467978.81000000006	457754.15	322929.12	351467.39	658443.68	488865.86	557385.52	475164.97	556999.6100000001	560947.78	359933.85	348059.78	448512.63	373219.16	424922.44000000006	437263.63	358659.92000000004	349033.31	262595.19	433262.51	363069.17	489774.04	358279.07	573165.3400000001	426489.42	338497.26	539278.61	348895.31999999995	327540.55	449904.04	260655.88	284721.43	340903.19	241421.14	444519.58	352356.99	259250.3	380183.04
