feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Shimia.__	timepoint	timepoint	1.25420441122844	0.131663459954119	63	62	5.10173521282127e-13	2.67032286993035e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__Actinomarinaceae	timepoint	timepoint	-1.65917452922015	0.179124942838809	63	60	5.82981576425478e-13	2.84336014320244e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__Actinomarinaceae.g__Candidatus_Actinomarina	timepoint	timepoint	-1.65917452922015	0.179124942838809	63	60	5.82981576425478e-13	2.84336014320244e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__Actinomarinaceae.g__Candidatus_Actinomarina.__	timepoint	timepoint	-1.65917452922015	0.179124942838809	63	60	5.82981576425478e-13	2.84336014320244e-11
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Litoribrevibacter	timepoint	timepoint	1.07882444621061	0.116532466364583	63	63	6.29252823460539e-13	2.93560121553547e-11
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Litoribrevibacter.s__Litoribrevibacter_euphylliae	timepoint	timepoint	1.07885386296847	0.116504722826344	63	63	6.23589471349952e-13	2.93560121553547e-11
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales	timepoint	timepoint	-1.66209692687234	0.180175913998226	63	60	6.6488018980613e-13	3.03581465388076e-11
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__Amphritea.s__uncultured_bacterium	timepoint	timepoint	0.81284231928486	0.0887385091844303	63	63	1.77094428193176e-12	7.91759672713656e-11
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Kordia.__	timepoint	timepoint	1.37894067192846	0.152184009478591	63	49	2.43755101163263e-12	1.06754785121707e-10
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Kordia	timepoint	timepoint	1.38222686252062	0.152780668589193	63	49	2.56772087750289e-12	1.10206580062424e-10
