"gene","taxa","rho","pvalue"
"Montipora_capitata_HIv3___RNAseq.g15087.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.648136692899704,1.63304283037571e-08
"Montipora_capitata_HIv3___RNAseq.g13110.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",0.647117927022739,1.74884497688449e-08
"Montipora_capitata_HIv3___RNAseq.g15857.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.646359682231027,1.84002785260684e-08
"Montipora_capitata_HIv3___RNAseq.27502_t","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.645751530351653,1.91639033040374e-08
"Montipora_capitata_HIv3___RNAseq.g27818.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.645637228979376,1.93107297340865e-08
"Montipora_capitata_HIv3___TS.g5110.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",-0.645108408249603,2.00039782748433e-08
"Montipora_capitata_HIv3___TS.g26493.t2a","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.64498332332388,2.0171362327301e-08
"Montipora_capitata_HIv3___RNAseq.g7741.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.644368059227922,2.10141360207843e-08
"Montipora_capitata_HIv3___RNAseq.g22595.t1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__",-0.644103648863035,2.13864491934996e-08
"Montipora_capitata_HIv3___RNAseq.g11828.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.643733474352195,2.19181731052854e-08
"Montipora_capitata_HIv3___RNAseq.g30158.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.643257535695399,2.26201901057143e-08
"Montipora_capitata_HIv3___TS.g26493.t2a","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.641432470188079,2.55141476477084e-08
"Montipora_capitata_HIv3___TS.g29264.t2","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.641248016922263,2.58253412213993e-08
"Montipora_capitata_HIv3___RNAseq.g30106.t1a","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.641142252776309,2.60053914300112e-08
"Montipora_capitata_HIv3___RNAseq.g35580.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.640824960338445,2.65526847103312e-08
"Montipora_capitata_HIv3___RNAseq.g34187.t2","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",0.640243257535695,2.75844318229126e-08
"Montipora_capitata_HIv3___RNAseq.g33365.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.640171347872848,2.77145744135036e-08
"Montipora_capitata_HIv3___RNAseq.g47569.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.638286620835537,3.13397964157602e-08
"Montipora_capitata_HIv3___RNAseq.g33315.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.637330826914604,3.33451073878215e-08
"Montipora_capitata_HIv3___RNAseq.g19903.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.636858804865151,3.43795633628703e-08
"Montipora_capitata_HIv3___RNAseq.g34110.t1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__",-0.636647276573242,3.48529040353035e-08
"Montipora_capitata_HIv3___RNAseq.g47569.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.636171337916446,3.59405188666635e-08
"Montipora_capitata_HIv3___RNAseq.g22595.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.634955050237969,3.88674166528391e-08
"Montipora_capitata_HIv3___RNAseq.g48712.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.634796404019037,3.92653703802343e-08
"Montipora_capitata_HIv3___RNAseq.g28322.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter_phthalicicus",-0.633157059756742,4.36091498875932e-08
"Montipora_capitata_HIv3___RNAseq.g27818.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.633051295610788,4.39044270028942e-08
"Montipora_capitata_HIv3___RNAseq.g26524.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.631940772078265,4.71209231494285e-08
"Montipora_capitata_HIv3___RNAseq.g13590.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.631684761580029,4.7893338113687e-08
"Montipora_capitata_HIv3___RNAseq.g49798.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.631129443860601,4.96100664576388e-08
"Montipora_capitata_HIv3___RNAseq.g15918.t2","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.631018400916662,4.99602438505637e-08
"Montipora_capitata_HIv3___RNAseq.g36323.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.629984135378107,5.33357916458055e-08
"Montipora_capitata_HIv3___RNAseq.g39019.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.629190904283448,5.60692816017145e-08
"Montipora_capitata_HIv3___RNAseq.g47022.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.629138022210471,5.6256136016871e-08
"Montipora_capitata_HIv3___RNAseq.g467.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.62898769158976,5.67905310525307e-08
"Montipora_capitata_HIv3___RNAseq.g47022.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter_phthalicicus",-0.628450555261766,5.87393333269645e-08
"Montipora_capitata_HIv3___RNAseq.g36818.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.628326656938265,5.91977220673616e-08
"Montipora_capitata_HIv3___RNAseq.g27062.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter_phthalicicus",-0.628080380750925,6.01189135735447e-08
"Montipora_capitata_HIv3___RNAseq.g13110.t1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Spongiibacter;__",0.627075621364357,6.40191963990902e-08
"Montipora_capitata_HIv3___RNAseq.g26524.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.626599682707562,6.59488890453262e-08
"Montipora_capitata_HIv3___RNAseq.g36979.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.626388154415653,6.6824024874741e-08
"Montipora_capitata_HIv3___RNAseq.g33790.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",0.626229508196721,6.74875524645164e-08
"Montipora_capitata_HIv3___RNAseq.g14802.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.626229508196721,6.74875524645164e-08
"Montipora_capitata_HIv3___RNAseq.g33482.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.626176626123744,6.77101057834895e-08
"Montipora_capitata_HIv3___RNAseq.g41393.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.625171866737176,7.20724404127434e-08
"Montipora_capitata_HIv3___RNAseq.g26744.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.625047925066854,7.26285564736452e-08
"Montipora_capitata_HIv3___TS.g7987.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.624378635642517,7.57022015248318e-08
"Montipora_capitata_HIv3___RNAseq.g3338.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.624219989423585,7.64485412085974e-08
"Montipora_capitata_HIv3___RNAseq.g14800.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.624167107350608,7.66988591136524e-08
"Montipora_capitata_HIv3___TS.g40145.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",0.623426758328926,8.0285470460504e-08
"Montipora_capitata_HIv3___RNAseq.g27062.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",-0.622210470650449,8.65231525769231e-08
"Montipora_capitata_HIv3___RNAseq.g36818.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.621055275771829,9.28682140781692e-08
"Montipora_capitata_HIv3___RNAseq.g33355.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__uncultured_bacterium",0.620626740847608,9.53316035355726e-08
"Montipora_capitata_HIv3___RNAseq.g15857.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.620552889436694,9.57623032602932e-08
"Montipora_capitata_HIv3___RNAseq.g35661.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__",-0.620359598096245,9.68982722440999e-08
"Montipora_capitata_HIv3___RNAseq.g7364.t1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",0.619989423585405,9.9109320831825e-08
