,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
Montipora_capitata_HIv3___RNAseq.g45032.t2,753.957558298506,7091.17454495952,2142.74241171192,954.587038190116,4903.49813175011,1776.30801353733,683.874994172006,6453.92097677749,1712.50761560051,636.94405486031,4055.22017519454,1722.39115672335,469.342383059492,8233.88979262972,2453.02622167175,704.961838360871,10600.8304377954,1427.03689813599,831.425808255187,7075.9827484466,1920.89445386853,12999.985453543,2061.44755681385,885.856573644603,5136.58225465681,1984.4345155851,735.885385332937,5832.62925259111,1960.38811533918,714.750828992801,1799.53133740621,735.810329055469,4278.18288354838,1562.58976809976,518.255418515392,6538.37141245713,6712.91950113178,1681.33559287043,682.37557858714,2433.7395488058,1528.15993937664,914.688739085532,6538.87406367856,1269.30691814263,517.325615861386,1292.74275181103,4737.15278886066,1705.78981462429,721.215874277921,832.440913527037,10389.0361492623,1976.45041793388,724.333757117254,5213.6713742607,1692.14754690244,782.62324606115,8791.34215229062,892.526757729953,932.953212263366,1480.13678936259,2133.37269331116
Montipora_capitata_HIv3___RNAseq.g45264.t1,2270.8789938513,51.0646270640388,55.7718943922448,1922.4118011009,0,84.2947545651086,2520.00646601288,0,120.817288365449,1807.97560206086,1102.88414806546,190.108138942286,3482.18594056089,0,153.58840386138,3641.96998835913,14.4163605228405,136.558554845549,2877.89623547731,11.5620633144552,418.273449241273,0,405.571456560842,1701.14035500341,25.7380642681444,260.811393476898,2339.35520097537,0,89.1450556340225,2741.43333626743,204.792479660766,1922.94617971182,47.3429145008053,210.551075586108,3207.22663596192,0,0,91.5727421116931,2604.4754423337,0,283.105327414397,2205.69320302482,0,390.920027735202,3783.0684032489,353.389957854885,451.59885406807,40.2132467263402,2103.87293760149,3228.48087866125,0,78.3099810772145,2579.81886096556,0,134.206988381338,2359.36111505761,10.963482029357,1160.50443888595,2204.34531051633,172.706414187921,126.725577583914
Montipora_capitata_HIv3___RNAseq.g19088.t1,339.666886332433,434.04933004433,487.487669502584,355.947709155637,393.503176477244,422.153569233326,357.465705943477,242.272506325545,567.531467398723,260.655139802414,395.472067294479,537.783384034935,271.569177619329,344.663400673011,569.217431453602,344.15983987967,189.815413550733,278.579451884921,275.63162580667,190.774044688511,437.605415382676,363.134758603058,332.170487428665,342.782133959596,614.036676111445,511.700614375871,319.064696592694,413.098976145055,464.19677618437,387.54548865319,447.240350743027,361.488213983646,481.512081630142,400.799011740698,170.369022638393,307.946845330193,210.570812117988,394.813625825824,240.26248296832,213.550520167529,447.489065913079,275.029918992498,342.498859729999,373.88235098161,303.604222436026,388.879974989884,327.111193415874,586.3652487771,277.315342962842,322.330584633915,291.332042792668,459.34063527381,333.391975878627,261.617918421684,548.855938333115,338.69321313311,360.42447171511,438.575494569518,328.455438025305,390.373589094184,384.940852209785
Montipora_capitata_HIv3___RNAseq.g19868.t1,305.571535999821,10.2129254128078,30.9843857734693,339.76826783038,0,51.6645269915182,513.381598961376,29.1455646707423,35.3158227529773,353.928792770925,207.524946204033,43.3880437225638,464.422651580881,16.6389227911109,48.2706412135764,522.563780088086,31.2354477994877,23.2149543237434,226.546541758907,5.78103165722761,65.0257042938113,35.835666967407,55.9837900160671,337.405159309249,18.3843316201031,77.2512007852769,434.471076211328,0,30.5181271539897,516.934672665812,54.8315348769146,315.500068417679,23.0941046345392,78.9566533447905,198.962425039242,0,17.547567676499,24.019079898149,686.894622153942,66.2742993623366,50.228364541264,275.809040576046,22.8332573153332,90.8676093524925,349.544335041477,42.2859778629776,35.7570940171199,33.6669042360057,368.447240120242,660.925556565872,0,25.7137251298316,531.839580568285,33.2213229741821,60.7729758707947,410.665520923895,42.4834928637582,134.72102003471,461.235295950428,44.960760718343,30.4903645314681
Montipora_capitata_HIv3___RNAseq.g19903.t1,4937.39271326027,136.172338837437,405.551182679409,8013.23603090871,34.6609015549904,349.415353600531,7919.3865173116,41.896749214192,333.951376558855,6683.12112125748,2974.52422892448,1117.81302116816,5055.51606742069,61.8017132241261,956.009452606546,6435.85557438423,45.6518083223282,452.008816538768,4837.52382169185,46.2482532578209,1786.44941661241,33.4466225029132,3161.21800957392,7113.06534057726,79.6654370204469,1162.3116448427,5454.64858962191,0,269.041384120699,5473.53572176472,1161.37154594718,5993.43180817856,303.68747594419,1159.53485197778,4684.55242667246,115.480066998822,150.129190121158,424.086879451694,6219.7102957755,290.870536090255,1114.1564498244,5376.71804806581,149.843251131874,2503.59194518065,4556.06073274062,1475.4785847189,317.840835707732,147.760301924692,8690.84726762348,7350.76376838307,48.7811792583072,234.929943231643,7383.57387848657,112.121965037864,491.881273454245,6683.14286628725,23.2973993123836,6942.52560852782,8165.46208999686,594.48116949809,533.581379300692
Montipora_capitata_HIv3___RNAseq.g20081.t1,108.07582746941,11.9150796482757,19.2791733701587,56.6280446383967,6.11662968617477,37.3888024280724,108.380559780735,0,55.7618253994378,58.1363179461266,82.2268654770698,52.5223687167877,211.548453580274,0,25.0756577732865,95.1931472007597,0,38.2363953567538,49.0850840477631,0,26.3617720110046,17.9178334837035,21.1494317838476,59.1467211538126,0,32.6014241846123,76.0324383369824,8.20726442672295,75.4922092756587,135.609817859383,35.0129078129696,58.2873007754696,16.1658732441774,15.0393625418649,132.244486103928,0,25.3464866438319,69.0548547071784,86.6150016970432,0,41.8569704510533,201.792490138972,0,47.3268798710899,225.705770626782,32.4695901447864,238.380626780799,88.8432195116818,81.3327684307981,138.247292033353,29.8107206578544,24.544919442112,94.593358235404,24.9159922306366,27.2212287754601,91.3262056841064,21.9269640587139,28.5549988117048,69.8841357500649,59.2340180892455,54.3109618216775
Montipora_capitata_HIv3___TS.g33656.t1,2759.79345145102,13.6172338837437,77.1166934806347,2396.76360359136,22.4276421826408,133.919892333277,2371.69622631292,7.28639116768556,71.2512213437261,1974.71822825799,1020.65728258839,204.9514170579,5944.01957245785,27.335373156825,147.319489418058,3098.76993160515,0,166.60143691157,2160.49885324077,37.5767057719795,384.881871360667,14.3342667869628,281.163034302915,1543.86384648077,28.1893084841581,360.033119256153,1976.16453570496,0,168.652807956259,2899.43743597515,288.691334231466,2022.40891314519,46.1882092690784,397.039171105232,5109.8792873851,30.2447794520725,35.095135352998,203.411582887449,3060.14566865292,0,234.399034525899,3298.02166315933,12.843707239875,723.154724430253,4492.14405433304,373.022733291267,720.439227604193,39.2780549420067,1893.19166997954,3082.10139297888,43.3610482296064,106.945720426345,2752.46827704557,14.5343288012047,143.70276586115,2626.6868297091,26.0382698197228,1336.22750849644,2364.08047794505,340.417188296025,267.743513541954
Montipora_capitata_HIv3___RNAseq.g20279.t1,396.278034054505,0,53.7062686740135,325.795113958568,28.5442718688156,75.4574012639279,363.803750375099,10.9295867515283,91.6972239901866,283.015262089386,160.538165931422,105.044737433575,524.443375619936,0,104.063979759139,314.869640740974,0,80.5695473588741,280.162556641848,0,130.051408587623,17.9178334837035,65.9364637967012,163.325605004278,0,78.6686540106949,243.032258255712,13.6787740445383,77.0984264942898,239.494403100286,86.5413381792267,249.726325340773,42.7240935738975,64.6692589300189,358.608921777317,0,37.0448650948312,121.596591984379,246.287874390723,0,83.7139409021066,201.792490138972,18.5520215687083,83.2953085731181,599.218860071103,77.0208882504236,98.0009243432174,51.4355481383421,325.331073723192,641.704007940913,0,75.3879668579154,416.739969848283,16.610661487091,62.672131366757,453.6069818747,0,112.755636333399,277.040681009186,140.59158510339,60.0279051713278
Montipora_capitata_HIv3___RNAseq.g20522.t1,31.5221163452447,0,51.6406429557822,30.1525951970684,61.1662968617477,60.5018802926989,34.2254399307584,16.3943801272925,59.479280426067,27.4710073811368,11.7466950681528,26.8320796705329,34.4381203502772,0,43.2555096589191,32.6186308590016,38.443628060908,53.2578363897642,50.5953943261558,8.67154748584142,61.5108013590107,19.1123557159504,65.9364637967012,22.8521422639731,18.3843316201031,44.6497766006646,62.4552172053784,68.3938702226913,70.6735576197656,23.0163452330145,60.1165020939666,32.619498599116,24.2488098662661,52.637768896527,20.2536600339349,0,17.547567676499,31.5250423663206,5.27221749460263,0,88.2801558604034,30.385741758378,58.5102218705414,30.2892031174975,71.9062632085324,49.8370453385094,95.3522507123197,129.056466238022,76.433204067497,12.5679356393958,10.8402620574016,36.817379163168,38.3665369066673,10.3816634294319,63.3051831987445,48.9895540424677,8.22261152201772,27.8228193549944,30.9486886893144,59.2340180892455,86.7069741363624
Montipora_capitata_HIv3___RNAseq.g20824.t1a,144.744411789389,66.3840151832504,232.727164254058,133.848105508938,26.5053953067574,139.358263595542,166.690568551657,9.10798895960696,232.960515002096,123.30010289673,110.941008976999,272.887959202441,259.761822070662,16.6389227911109,206.247285185281,184.395117304968,48.054535076135,214.396931107512,101.945943791508,0,210.894176088037,66.8932450058264,277.430781635177,131.063757102198,51.4761285362888,211.200530587271,207.731483313541,0,203.989586766142,147.429022168228,249.054080103576,186.626311657237,125.862870258239,175.208573612726,75.0576813022292,60.489558904145,23.3967569019986,261.958090139188,151.387959487875,0,127.092983005926,89.5989821080376,0,114.531049288037,143.812526417065,170.654124947017,95.3522507123197,91.6487948646823,108.770328865284,127.897227389145,0,280.513365052709,123.699006923221,0,262.71651027479,181.44279274988,31.5200108344013,142.774994058524,125.791444350117,208.389557615177,217.24384728671
Montipora_capitata_HIv3___TS.g34591.t3,2223.27416508502,98.7249456571416,115.675040220952,3085.86071821705,116.215964037321,49.6251377681688,2750.07747888075,58.2911293414845,166.04632452277,2704.93593608681,1409.60340817834,173.552174890255,3158.46760926828,70.1211746196815,164.872449859358,4937.39561390234,33.6381745532945,71.0104485196856,3846.76027906623,14.452579143069,405.092563235771,54.9480226833574,440.405814793061,2574.89873568473,40.4455295642269,239.549595095629,1631.9819800188,43.7720769425224,107.616553648279,2513.13607409131,171.100813652059,2107.96825373304,64.6634929767097,316.578581506255,2517.41080304143,0,27.2962163856651,96.8269158394132,3027.75918975751,0,207.001744776118,2607.71994013567,71.3539291104164,343.593147864112,2904.21407514461,246.164799702334,94.0279138968708,52.3707399226756,2080.35502865764,2825.56764786886,107.047587816841,136.165862619336,3227.41954426948,43.602986403614,132.940884717363,2895.82697228809,50.706104385776,1458.50147776708,3129.81093680648,239.077060962617,164.838533248249
Montipora_capitata_HIv3___RNAseq.g21373.t1,77.1970196210075,17.0215423546796,74.3625258563264,62.5114778475808,0,103.329053983036,79.2255553952741,14.5727823353711,83.6427380991567,83.0518827801809,13.0518834090587,85.6342968208495,45.2615296032215,22.5813952165076,62.062252988884,61.2431436536356,0,118.805942715628,57.391790578923,0,85.2363961689148,19.1123557159504,85.8418113579695,79.3103760926124,28.1893084841581,96.3868193284189,93.6828258080676,0,93.1605986806001,90.1991907780297,105.69934434104,82.3508653158011,13.8564627807235,62.4133545487392,106.033867236483,13.7476270236693,0,93.8245308521446,76.0705667078379,0,89.8022275131689,91.1572252751339,25.6874144797499,60.578406234995,47.9375088056882,118.551759365848,46.351788540711,82.2968770213473,58.7947723596131,76.1469041681038,4.0650982715256,65.4531185122987,82.6865019540245,87.2059728072279,87.9942046462548,52.013600588299,16.4452230440354,84.2006375216937,46.4230330339716,111.33140749304,117.19733866783
Montipora_capitata_HIv3___RNAseq.g21376.t1,70.7639346525902,0,53.7062686740135,56.6280446383967,0,85.6543473806749,67.8170754183546,0,87.3601931257859,66.4415062241447,22.1882017953998,65.6529608959846,68.8762407005544,59.4247242539674,78.3614305415202,124.483346339455,0,54.6234219382197,86.8428410075808,26.0146424575243,126.536505652822,66.8932450058264,108.235327364396,63.8515739728659,13.4818431880756,59.5330354675529,55.6666066395764,0,31.3212357633052,71.5372892377477,70.6864365280707,96.78900404,25.4035150979931,47.3739920068743,51.2298459681882,60.489558904145,0,102.081089567133,53.4753488738266,0,53.2725078467951,93.4945900257784,31.3957288085832,68.1507070143694,35.9531316042662,55.1227925713816,0,90.7136030803488,130.328412063809,52.4896135527706,9.48522930022639,37.9861848508876,71.4411376882771,0,94.9577747981167,90.1165870657738,43.8539281174279,125.202687097475,62.3965497768436,82.0712298826895,59.0750812797194
Montipora_capitata_HIv3___RNAseq.g21605.t1,1209.41997406245,18298.1580312806,4775.72666055074,1067.84312746691,12186.3652114222,4189.58526116745,716.83282521644,13946.1526949502,3760.82533527319,894.404891478871,8947.06607690974,3612.62553521557,598.239347799101,21301.3866560771,5931.64684627091,631.736340514132,27850.005803374,4546.03429080834,662.271057075203,16351.6480424683,4645.82295407271,37611.9215267581,3584.20664525087,1381.21036330778,12893.5445762323,4738.54613257212,1056.30780403879,11698.0875628891,5810.49078839777,1140.24218411123,4509.39827794963,1111.73668176331,11680.9981241499,4865.98575042037,461.068613713694,18328.3363479559,20741.2249936218,4873.6214305838,916.612670133057,9149.53521752258,4066.21442036323,1103.23616230419,19725.0801632835,2938.05270239726,611.203237272525,3179.75451394641,11517.7572839589,4479.56864695743,1114.16093621467,769.601235330059,23519.3035662899,4648.92462290478,1052.43379687082,15524.7394923725,3788.18216261287,984.024746013517,21084.1463777071,1056.53495603308,1135.11803354034,3761.71698010136,6198.1194149125
Montipora_capitata_HIv3___RNAseq.g22595.t1,1049.23615834886,13991.7078155466,1910.70378936394,1339.95191339167,13207.8423690134,2357.53394219191,872.114913791177,13213.8703825978,1282.52198418707,802.408959783902,8794.35904102375,1265.67490701216,1212.22183632976,21031.5984079641,2246.15204504213,638.393203954745,31040.8269324294,5895.23281268236,883.531512859735,25323.8091744856,1572.04033758957,20371.3821487386,1180.63592722773,662.040003823925,12436.3875299458,2734.97599844389,934.791674910935,27004.6357187274,4246.03521745115,813.03684377162,2609.45256341943,730.997616147403,10176.4172072097,3510.18721727126,1468.98604834363,18930.4824115926,18614.0698452818,1992.83303529955,702.71127463775,18681.9886091387,2825.72602335929,999.612991692281,15421.0111593432,1768.13223198392,1392.1851515652,1507.94817486368,8090.37360557723,2415.60037893341,895.640365611439,1230.17911199733,21576.1865925007,1666.13250784432,1060.37170105841,14411.8251727374,1289.52658175843,934.430382661883,18831.1508206743,602.583692872643,833.617905018631,2323.68629998293,4248.64173268176
Montipora_capitata_HIv3___RNAseq.g22859.t1,872.326321717385,1000.86669045516,1029.37014958526,826.622365890363,882.833551371226,1287.53439634126,1021.05895793429,823.362201948469,1099.1275362067,896.960334025954,785.723381225333,1059.58169932998,814.707532857987,887.805380354272,1199.87022445176,959.254021792271,667.958037558276,909.479975271358,817.833015749653,711.066893838997,1370.81214457224,811.080595695645,977.850198947305,1045.14944766112,1094.48054245014,1202.0003351544,956.515228721502,845.348235952464,1060.10336429648,1014.58538040667,1403.15879612731,993.557842576353,926.073595845022,1065.53883609112,862.567639092285,904.593858157441,645.360544546796,800.886195353906,1013.0189328915,486.011528657135,896.500203478924,896.768942663924,763.487041481455,993.864477292887,1154.49500373699,1155.31332375635,774.737037037597,1066.11863414018,815.287510053302,940.377301959495,868.575997349303,1109.19659764592,905.582569400476,550.22816175989,1164.18231902491,973.74298775769,760.591565786639,830.291503909571,972.887004120546,1125.44634369566,936.625885451035
