feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6737	timepoint	timepoint	0.0827771296174137	0.0183948424160995	63	63	3.18015838143472e-05	0.000128765236424759
GLYCOCAT.PWY	timepoint	timepoint	0.101821334526852	0.02262454089903	63	63	3.30648375803465e-05	0.000133227101665201
PWY0.42	timepoint	timepoint	-0.0393750524810743	0.00865502243887879	63	63	3.40538637302404e-05	0.000136546074957177
PWY.4722	timepoint	timepoint	-0.688304286329402	0.153420537290614	63	63	3.50172538953891e-05	0.000139373091271113
PWY.7198	timepoint	timepoint	-1.11343740938504	0.248339010188852	63	21	3.52641621554369e-05	0.000139373091271113
PWY.7210	timepoint	timepoint	-1.11340976502891	0.248333270595589	63	21	3.52651042078239e-05	0.000139373091271113
SO4ASSIM.PWY	timepoint	timepoint	-0.0305192569497831	0.00680840562177818	63	63	3.54988428292497e-05	0.000139628781795049
COA.PWY	timepoint	timepoint	0.0160328895950928	0.00357683814225771	63	63	3.64124510624284e-05	0.00014254352880363
ARGORNPROST.PWY	timepoint	timepoint	-0.175677505306102	0.0390660263392908	63	63	3.67228801706813e-05	0.000143080655759353
COBALSYN.PWY	timepoint	timepoint	0.0559113382290903	0.0125065667043693	63	63	4.18047418029079e-05	0.000162116040982169
PHOSLIPSYN.PWY	timepoint	timepoint	0.0103994147184534	0.00234428556530853	63	63	4.23078584317147e-05	0.000163300425535497
PWY.5505	timepoint	timepoint	0.246719448409673	0.0553178477699275	63	63	4.3438889679475e-05	0.000166886152908122
PWY.6892	timepoint	timepoint	-0.166535707237307	0.0373657545560119	63	63	4.42461348216752e-05	0.000169200497049554
PWY.6148	timepoint	timepoint	0.582873711675571	0.131473743850531	63	63	4.48434908699518e-05	0.000170694578150139
PWY.7431	timepoint	timepoint	-0.242507858476811	0.0556232839514901	63	63	6.29251863246776e-05	0.000238422953688916
PWY.6165	timepoint	timepoint	-1.23647331260335	0.287162593051678	63	33	6.60643859973786e-05	0.000249174350839428
PWY.6654	timepoint	timepoint	-1.01446855478209	0.23582873937047	63	35	6.69131379976234e-05	0.00025122841811835
PWY.6353	timepoint	timepoint	0.0500966069856601	0.0116551815696698	63	63	6.82104948024538e-05	0.000252784943799922
PWY4FS.7	timepoint	timepoint	0.0105058938540729	0.00243379132798491	63	63	6.82458141251604e-05	0.000252784943799922
PWY4FS.8	timepoint	timepoint	0.0105058938540729	0.00243379132798491	63	63	6.82458141251604e-05	0.000252784943799922
