"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade"	"hpf"	"hpf"	"hpf"	-5.17673833879974	0	0.212502091234295	4.4456085261082e-131	1.98103155321114e-128	8.8912170522162e-131	2.93683738632433e-128	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter"	"leachate"	".L"	"leachate.L"	10.2705510392513	0	0.4660960724883	1.32265597260334e-107	5.47296146377939e-105	2.64531194520671e-107	8.11354963765543e-105	NA	"prevalence"	63	59
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter"	"hpf"	"hpf"	"hpf"	5.52365855101659	0	0.263605187289635	1.71480385674708e-97	6.62257249475724e-95	3.42960771349422e-97	9.81782368116278e-95	NA	"prevalence"	63	52
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae"	"leachate"	".C:hpf"	"leachate.C:hpf"	-1.39577410161778	0	0.0710606220942989	6.76540123860192e-86	2.44949808595131e-83	6.76540123860192e-86	1.81566455740979e-83	NA	"prevalence"	63	5
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-3.8659577066265	0	0.196859074018116	7.2939124292163e-86	2.48550792367353e-83	1.45878248584326e-85	3.68471293777115e-83	NA	"prevalence"	63	51
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter"	"leachate"	".Q"	"leachate.Q"	5.98980175513985	0	0.335306922914101	2.26387508223954e-71	7.28590463967425e-69	4.52775016447906e-71	1.08011995590406e-68	NA	"prevalence"	63	51
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter"	"leachate"	".C"	"leachate.C"	3.30269211088554	0	0.213381835474311	4.89559990014206e-54	1.49264264323805e-51	9.79119980028413e-54	2.21281115486421e-51	NA	"prevalence"	63	51
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae"	"reads"	"reads"	"reads"	1.0788446581543	0	0.0706874491383487	1.36604530860893e-52	3.95675023638578e-50	1.36604530860893e-52	2.93289927758338e-50	NA	"prevalence"	63	5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade;g__PS1_clade"	"leachate"	".C"	"leachate.C"	-3.89428237299634	0	0.262956425144493	1.26972947574245e-49	3.50263945379811e-47	2.53945895148489e-49	5.19258892270292e-47	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter"	"leachate"	".C"	"leachate.C"	-4.61217591578371	0	0.318364180083031	1.46170895203728e-47	3.84894543597816e-45	2.92341790407457e-47	5.70598021822556e-45	NA	"prevalence"	63	52
