sample_no,sample_name,organism,collection_date,development_stage,pvc_leachate_level,hours_post_fertilization,pvc_leachate_concentration_mg.L,plate,well,sample_type,sample_buffer,total_amount_ng,volume_uL,conc-ng.uL,purification_method,biosafety_level,MethodUsedForFluorescence
47,45C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,D08,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
48,45H14,Montipora capitata,07-Jul-2024,early gastrula,high,14,1,1,A02,Total RNA,DNAse/RNAse-free water,406,50,8.12,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
49,67C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,C11,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
50,6C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,D01,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
51,789C4,Montipora capitata,07-Jul-2024,cleavage,control,4,0,1,C06,Total RNA,DNAse/RNAse-free water,378,50,7.56,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
52,789H14,Montipora capitata,07-Jul-2024,early gastrula,high,14,1,1,A11,Total RNA,DNAse/RNAse-free water,0,50,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
53,789H4,Montipora capitata,07-Jul-2024,cleavage,high,4,1,1,E07,Total RNA,DNAse/RNAse-free water,550,50,11,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
54,789H9,Montipora capitata,07-Jul-2024,prawn chip,high,9,1,1,D09,Total RNA,DNAse/RNAse-free water,386.5,50,7.73,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
55,789L14,Montipora capitata,07-Jul-2024,early gastrula,low,14,0.01,1,D03,Total RNA,DNAse/RNAse-free water,225,50,4.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
56,789L4,Montipora capitata,07-Jul-2024,cleavage,low,4,0.01,1,C10,Total RNA,DNAse/RNAse-free water,409,50,8.18,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
57,789L9,Montipora capitata,07-Jul-2024,prawn chip,low,9,0.01,1,B10,Total RNA,DNAse/RNAse-free water,314.5,50,6.29,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
58,789M14,Montipora capitata,07-Jul-2024,early gastrula,mid,14,0.1,1,C12,Total RNA,DNAse/RNAse-free water,525,50,10.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
59,789M4,Montipora capitata,07-Jul-2024,cleavage,mid,4,0.1,1,B02,Total RNA,DNAse/RNAse-free water,499.5,50,9.99,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
60,7C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,E06,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
61,89C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,E05,Total RNA,DNAse/RNAse-free water,252,50,5.04,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
62,89C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,A01,Total RNA,DNAse/RNAse-free water,452.5,50,9.05,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
63,89M9,Montipora capitata,07-Jul-2024,prawn chip,mid,9,0.1,1,E09,Total RNA,DNAse/RNAse-free water,455.5,50,9.11,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
