feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.2.4.2.18	leachate	leachate	0.000917483894799768	0.00240480273873311	63	63	0.704384933294539	0.82300433359047
EC.2.6.1.81	leachate	leachate	-0.0960356036921663	0.252666224490236	63	62	0.705502745849405	0.823474750397568
EC.2.7.7.2	leachate	leachate	0.000874915124421885	0.00229878080188438	63	63	0.705086249912703	0.823474750397568
EC.3.1.1.2	timepoint	timepoint	0.0398266099896653	0.10488074340412	63	7	0.705539924335605	0.823474750397568
EC.3.1.8.1	timepoint	timepoint	0.0398266099896653	0.10488074340412	63	7	0.705539924335605	0.823474750397568
EC.1.3.99.33	leachate	leachate	-0.13286096541645	0.35073679490246	63	49	0.706356061642686	0.823764897045488
EC.2.5.1.76	timepoint	timepoint	0.0498204735501393	0.131676287032054	63	5	0.706541157698906	0.823764897045488
EC.2.7.1.74	leachate	leachate	-0.0792411096469085	0.209271269948884	63	62	0.706282428548839	0.823764897045488
EC.4.6.1.1	leachate	leachate	0.003900372555813	0.0102935306720053	63	63	0.706180217671653	0.823764897045488
EC.1.1.1.271	leachate	leachate	-0.0161916478673901	0.0429219595169865	63	63	0.707649533707588	0.824837502282167
EC.2.3.1.210	leachate	leachate	-0.115282189952522	0.305936469139731	63	59	0.70793265653258	0.824947876044619
EC.1.13.12.4	leachate	leachate	-0.0673550914950828	0.179139432839135	63	60	0.708400558553176	0.825069295722876
EC.5.1.3.24	leachate	leachate	-0.0795784596245288	0.211699487450567	63	56	0.708413769443191	0.825069295722876
EC.2.7.7.87	leachate	leachate	0.00202655062824227	0.0053954242978962	63	63	0.708727288503067	0.825214911985751
EC.2.7.1.26	leachate	leachate	0.000860271197874062	0.00229677780411711	63	63	0.709549165124652	0.825952205508037
EC.3.1.27.6	leachate	leachate	-0.119325845077259	0.319075331668684	63	58	0.710030482716505	0.826292783980027
EC.3.4.14.5	leachate	leachate	0.0265553467955705	0.0711743031539375	63	63	0.710495003133921	0.826613639043398
EC.1.14.19.9	leachate	leachate	0.0248024741594757	0.0666723086339552	63	63	0.711345982771062	0.827032964788444
EC.2.3.1.79	leachate	leachate	0.0105751210921561	0.0284503223549252	63	63	0.711422143762741	0.827032964788444
EC.6.3.2.13	leachate	leachate	0.000867032115868003	0.00233047423943577	63	63	0.711401459593428	0.827032964788444
EC.1.1.1.206	leachate	leachate	0.0977533345776408	0.26501024151712	63	63	0.713800063009366	0.829440650670056
EC.3.1.3.6	leachate	leachate	-0.0103874856050487	0.0282089904372044	63	63	0.714061629140119	0.829440650670056
EC.3.1.4.16	leachate	leachate	-0.0103874856050487	0.0282089904372044	63	63	0.714061629140119	0.829440650670056
EC.3.6.1.7	leachate	leachate	-0.0122445967929289	0.0332921533146961	63	63	0.714558913772683	0.829798123208702
EC.3.4.24.27	leachate	leachate	0.17130097433808	0.469250453342475	63	43	0.716486983861686	0.831816498368194
EC.2.4.2.10	leachate	leachate	0.000840486640093732	0.00231286876879049	63	63	0.717814052772125	0.832915431496519
EC.3.4.11.5	leachate	leachate	-0.0044090477524777	0.0121358528697854	63	63	0.717741257525792	0.832915431496519
EC.1.1.1.94	leachate	leachate	0.000835295529617522	0.00230668802604162	63	63	0.718763939517759	0.833355012502317
EC.1.4.3.21	leachate	leachate	-0.0700559425671819	0.193314561671665	63	62	0.718594058178188	0.833355012502317
EC.2.6.1.106	timepoint	timepoint	0.0579022805444499	0.160027984183866	63	9	0.718753267904902	0.833355012502317
EC.1.1.1.31	leachate	leachate	0.00420787039149039	0.0116600592962529	63	63	0.719718321849542	0.834057982870468
EC.2.3.1.35	leachate	leachate	-0.0120526849729304	0.0334226096864409	63	63	0.719751269822894	0.834057982870468
